temperature,humidity,soil_percent,light_status,health_score
27.6,48.7,65.8,0,85
18.2,79.6,41.1,0,76
21.1,81.9,41.9,0,70
17.3,87.6,73.8,1,76
27.5,74.6,57.7,0,85
29.4,38.1,55.4,1,85
23.6,44.1,10.0,1,80
17.1,33.1,75.8,1,76
24.9,68.2,70.2,0,85
32.1,57.1,78.4,1,100
25.2,85.5,82.7,1,76
20.0,39.3,33.5,0,61
18.0,36.5,51.5,1,76
33.8,66.9,6.3,0,65
16.4,57.7,20.5,1,82
30.2,38.8,19.0,0,50
25.4,46.7,66.4,1,100
23.7,50.6,52.5,0,85
29.9,67.1,90.0,0,76
17.4,73.6,15.5,1,71
24.0,50.2,38.5,0,76
31.2,52.7,20.8,0,76
22.2,40.7,55.9,1,100
21.9,65.3,36.8,0,76
29.3,50.4,36.6,1,91
24.1,59.7,94.3,1,91
24.1,45.1,10.5,1,80
32.4,63.0,53.1,0,85
26.0,89.4,93.1,1,76
19.2,82.0,42.2,0,61
34.2,33.0,75.5,1,85
15.5,54.8,48.6,1,91
31.4,51.2,65.0,1,100
33.2,75.8,68.6,0,85
24.1,78.0,29.8,1,91
29.5,78.5,16.6,1,80
30.0,67.2,50.0,0,85
31.1,37.9,48.0,1,85
26.8,68.7,89.5,0,76
22.3,33.7,9.6,0,50
30.5,72.2,21.0,1,91
15.3,61.9,16.3,0,56
32.4,45.4,25.3,1,91
25.7,75.1,41.6,0,85
24.6,70.1,87.2,1,91
29.4,42.3,65.2,1,100
26.3,88.2,46.1,1,85
28.7,77.0,88.2,0,76
27.6,76.5,10.2,1,80
31.0,49.0,81.4,0,76
23.6,45.1,40.3,1,100
33.9,77.8,56.9,0,85
32.6,88.6,56.0,1,85
16.5,80.7,46.6,0,61
25.6,33.4,64.7,1,85
28.9,74.5,5.4,1,80
23.2,58.9,79.1,1,100
17.3,40.2,50.8,0,76
22.7,54.2,24.7,1,91
30.4,43.8,7.0,1,80
17.1,83.1,15.6,0,41
15.8,42.4,71.5,1,91
17.3,33.8,83.2,1,67
31.5,42.5,49.3,1,100
33.9,80.8,67.9,1,85
34.6,87.2,69.8,0,70
33.4,75.3,66.1,1,100
16.8,69.9,42.0,0,76
18.2,52.7,5.2,0,56
15.3,30.6,49.3,0,61
23.5,78.3,86.9,0,76
30.8,63.5,69.5,0,85
34.4,78.9,29.6,0,76
34.3,69.1,47.7,0,85
21.8,46.3,73.1,0,85
25.0,64.7,64.9,1,100
27.7,67.4,66.4,1,100
28.7,83.9,74.6,0,70
34.4,51.5,59.2,1,100
21.4,77.5,56.6,0,85
21.7,36.8,79.6,0,70
17.3,61.5,92.7,1,82
30.9,46.2,28.8,1,91
22.2,73.5,32.9,0,76
22.4,35.0,81.4,1,76
33.0,72.8,22.4,0,76
18.1,59.4,72.3,0,76
22.6,85.6,28.9,0,61
32.3,40.2,58.7,0,85
34.7,88.9,44.1,0,70
15.7,81.3,87.3,0,52
27.0,59.1,42.9,0,85
21.5,46.0,90.5,0,76
18.3,32.4,54.5,0,61
24.4,60.3,91.9,1,91
34.3,53.1,37.3,0,76
26.9,85.9,84.3,1,76
26.9,69.5,31.2,0,76
19.7,81.7,46.1,1,76
32.0,88.4,17.7,0,50
24.4,35.6,59.8,0,70
21.0,51.5,55.2,1,100
25.2,76.2,16.6,0,65
20.4,73.9,43.9,0,85
25.9,78.9,28.8,1,91
28.1,87.6,70.5,1,85
25.4,37.5,13.2,1,65
33.2,48.2,35.7,1,91
35.0,87.1,70.2,1,85
20.1,50.4,10.9,1,80
32.2,88.4,85.1,0,61
21.5,42.2,10.6,1,80
31.6,82.5,33.6,0,61
34.9,68.0,22.3,1,91
15.4,55.6,27.5,1,82
27.6,65.0,18.3,0,65
20.9,37.4,69.5,0,70
23.2,35.0,67.2,1,85
25.6,36.6,58.7,0,70
23.3,80.6,32.5,0,61
21.2,69.2,27.6,1,91
29.0,42.3,62.2,0,85
24.8,68.5,49.0,0,85
25.5,67.0,79.4,1,100
34.4,34.1,23.7,0,61
24.3,33.7,38.8,1,76
27.1,57.7,84.3,1,91
18.0,51.1,64.8,0,76
31.9,63.0,82.8,0,76
24.7,38.5,22.4,0,61
23.0,62.3,75.1,0,85
25.5,67.4,39.9,0,76
28.4,35.6,7.5,0,50
23.6,49.6,62.3,1,100
30.8,41.3,51.0,1,100
20.7,37.9,87.5,0,61
21.9,66.8,79.0,1,100
23.5,81.0,16.2,0,50
16.8,90.0,64.8,0,61
19.5,80.8,43.4,0,61
28.5,40.4,31.4,1,91
24.0,31.5,26.8,1,76
21.6,70.1,31.4,1,91
28.4,76.0,49.0,1,100
21.7,32.9,36.2,1,76
17.5,33.1,85.8,1,67
26.0,87.4,77.4,1,85
31.1,30.3,51.1,0,70
27.7,81.5,73.2,1,85
24.8,47.6,21.4,0,76
33.0,53.1,67.3,1,100
30.5,72.8,83.2,1,91
33.2,80.3,58.5,0,70
22.2,54.9,27.3,0,76
33.5,35.4,27.2,0,61
29.0,40.0,18.0,0,65
23.0,59.4,7.9,0,65
26.8,88.9,7.1,1,65
19.1,34.5,32.0,1,67
27.5,64.8,86.0,0,76
15.2,65.5,15.1,1,71
31.9,62.0,64.0,0,85
25.3,54.1,94.2,1,91
27.4,35.4,18.9,1,65
28.6,33.8,6.6,1,65
25.6,30.6,13.5,0,50
32.2,36.8,47.7,0,70
30.3,33.4,93.5,0,61
17.1,67.4,56.9,0,76
27.3,33.9,51.7,1,85
27.3,41.8,94.3,0,76
17.9,67.1,39.2,0,67
23.2,47.2,23.2,0,76
29.9,31.2,43.6,0,70
18.5,63.4,80.5,1,82
30.2,37.2,32.1,0,61
28.5,85.5,16.2,1,65
30.8,89.3,77.3,1,85
33.7,85.4,63.3,0,70
29.6,74.1,29.8,0,76
16.1,74.1,29.2,1,82
20.1,87.5,59.4,1,85
24.2,74.5,46.1,1,100
30.8,69.4,34.7,0,76
20.3,58.9,56.9,1,100
32.0,70.0,30.0,0,76
19.8,53.7,43.3,0,76
17.4,74.4,42.8,0,76
28.9,81.8,67.7,0,70
25.5,74.7,58.5,1,100
18.5,67.2,65.1,1,91
32.4,80.6,36.9,0,61
30.3,72.3,57.0,0,85
22.3,75.0,44.3,1,100
25.4,85.8,82.1,1,76
15.2,62.6,20.0,0,67
18.3,45.3,6.9,1,71
16.5,58.9,55.9,1,91
32.5,72.1,77.1,1,100
17.6,47.9,61.8,0,76
32.2,46.8,25.8,1,91
32.5,34.6,9.3,1,65
24.2,85.8,33.6,1,76
29.4,62.5,93.3,0,76
17.3,86.9,52.5,0,61
19.1,35.1,58.7,0,61
31.5,82.2,76.8,0,70
22.9,33.8,59.5,1,85
25.4,80.8,57.0,1,85
26.9,57.6,48.1,0,85
18.7,63.9,30.2,1,82
28.0,42.4,28.8,1,91
29.1,50.3,60.9,1,100
17.7,70.6,28.1,0,67
32.8,46.7,44.7,1,100
33.4,89.7,15.6,1,65
29.9,51.8,26.2,0,76
22.2,56.2,22.6,0,76
35.0,60.7,56.1,1,100
26.4,38.0,28.9,1,76
31.3,52.3,62.1,1,100
27.6,53.4,33.0,1,91
21.2,82.4,73.7,1,85
17.5,31.9,66.7,1,76
28.1,64.8,15.2,0,65
17.1,48.5,80.7,1,82
32.3,81.7,54.5,0,70
15.6,81.7,23.5,0,52
31.9,39.2,11.4,0,50
20.8,63.7,15.6,1,80
29.2,73.9,82.6,0,76
16.0,42.5,36.2,1,82
29.8,46.9,70.1,1,100
18.6,61.4,88.3,1,82
16.5,67.2,7.7,1,71
25.1,82.0,7.8,0,50
34.5,53.3,47.6,0,85
27.4,53.5,31.9,0,76
31.3,51.6,21.0,0,76
19.3,38.2,75.8,0,61
15.7,62.2,10.5,1,71
19.9,51.4,92.1,1,82
15.9,61.2,37.4,1,82
26.2,65.7,70.7,1,100
28.7,47.7,92.3,0,76
25.3,72.3,70.5,1,100
26.3,34.3,49.7,0,70
23.3,75.5,60.1,0,85
30.8,39.4,80.8,0,61
30.8,78.4,68.4,0,85
30.9,59.2,83.5,1,91
26.9,58.8,87.9,0,76
24.8,55.5,66.6,0,85
23.6,32.1,93.0,1,76
19.3,30.4,44.0,1,76
28.0,35.8,73.0,0,70
20.5,69.5,55.5,1,100
17.5,48.3,22.1,1,82
25.4,80.7,46.3,0,70
23.0,63.6,94.1,0,76
25.0,33.4,32.3,1,76
28.6,44.2,59.7,1,100
27.9,30.7,29.3,1,76
31.7,53.6,7.4,1,80
16.4,75.9,24.5,0,67
18.4,54.2,33.1,0,67
22.2,73.7,92.7,1,91
26.5,81.8,7.9,1,65
26.7,63.8,73.5,1,100
32.4,87.5,93.2,1,76
15.4,58.9,44.0,1,91
34.8,40.4,47.2,0,85
20.0,34.1,12.3,0,50
33.5,35.3,86.9,0,61
15.1,75.4,30.8,0,67
31.0,42.3,50.8,0,85
19.4,66.7,77.8,1,91
31.7,61.5,63.3,1,100
23.8,89.3,27.7,0,61
18.7,34.5,35.9,1,67
23.1,66.3,77.2,0,85
20.2,71.1,90.2,1,91
16.3,44.8,32.4,1,82
15.4,42.6,34.3,0,67
27.6,34.0,48.0,1,85
17.3,44.8,18.1,1,71
27.7,60.9,70.6,0,85
19.4,56.3,28.9,0,67
33.4,47.0,39.5,0,76
15.1,77.4,54.5,1,91
33.4,45.3,86.4,0,76
24.9,64.2,67.7,0,85
23.9,89.2,11.7,1,65
17.0,80.4,9.4,1,56
25.6,33.5,94.9,1,76
33.7,84.6,44.3,0,70
34.6,36.9,19.3,0,50
22.2,52.4,69.0,1,100
17.7,73.2,26.3,0,67
21.3,48.9,92.2,1,91
31.2,48.7,63.0,1,100
19.5,68.8,76.9,0,76
25.7,49.0,40.6,0,85
19.1,74.4,69.4,1,91
26.9,68.3,15.9,1,80
21.6,70.2,67.0,1,100
15.8,80.4,68.6,0,61
28.1,41.7,54.9,1,100
30.0,38.5,89.5,0,61
22.3,33.5,34.0,1,76
30.8,64.5,88.1,0,76
30.8,70.9,42.2,0,85
19.9,85.6,9.3,0,41
29.4,74.3,13.7,1,80
27.9,79.5,22.2,0,76
34.3,40.9,79.5,1,100
19.3,48.1,29.8,1,82
31.5,78.2,82.9,0,76
22.9,77.2,68.3,0,85
24.4,68.2,88.6,1,91
20.4,50.4,17.9,0,65
29.5,61.4,37.4,1,91
24.7,49.2,68.7,0,85
15.2,59.4,95.0,0,67
20.4,64.2,8.8,1,80
25.0,63.2,30.5,0,76
34.7,70.0,85.9,0,76
25.8,36.6,86.6,1,76
17.5,81.4,35.8,0,52
33.3,40.7,37.3,1,91
27.1,88.6,26.0,1,76
26.3,73.2,46.2,0,85
32.6,56.6,37.4,1,91
29.2,71.8,56.3,0,85
23.0,76.6,24.8,0,76
20.2,81.1,94.2,1,76
24.5,78.5,6.8,1,80
34.9,52.2,69.1,1,100
26.8,48.7,63.3,1,100
25.6,74.8,53.0,0,85
22.5,30.1,73.5,0,70
24.4,48.8,31.2,1,91
18.7,81.1,31.4,0,52
21.6,86.9,76.5,0,70
15.3,77.3,9.1,0,56
32.1,59.1,6.9,0,65
31.7,76.7,17.7,0,65
25.1,81.0,23.4,1,76
15.5,59.9,17.6,0,56
15.8,43.2,29.2,1,82
31.5,87.6,43.7,1,85
17.6,56.1,7.3,1,71
30.2,66.3,73.0,1,100
27.4,41.6,65.2,1,100
27.0,33.3,69.2,1,85
23.1,82.7,51.9,1,85
24.1,48.0,52.9,1,100
17.7,69.2,76.0,0,76
30.9,54.7,41.4,0,85
33.5,42.9,78.5,1,100
18.5,63.9,81.5,0,67
32.2,84.3,86.9,0,61
17.6,77.0,11.7,0,56
32.1,61.3,51.5,1,100
33.3,51.5,7.1,1,80
26.4,49.3,24.4,1,91
19.5,52.2,37.4,0,67
19.1,78.7,35.7,0,67
22.5,39.6,60.5,1,85
18.3,73.4,85.4,0,67
18.4,76.0,91.0,1,82
32.2,62.8,49.4,1,100
18.5,43.8,36.5,0,67
33.4,57.2,83.0,1,91
32.8,84.4,47.3,1,85
27.5,61.4,53.5,0,85
25.4,37.0,73.6,1,85
15.2,58.1,42.4,1,91
20.9,73.1,12.3,1,80
15.9,56.8,48.9,0,76
34.9,48.6,9.4,0,65
26.9,85.1,45.1,1,85
16.2,62.1,64.1,0,76
19.9,41.6,64.6,0,76
17.0,60.3,26.4,1,82
18.2,57.7,19.5,0,56
22.4,62.9,83.5,1,91
20.3,73.7,60.2,1,100
32.2,54.9,36.8,0,76
25.0,40.0,37.0,1,91
19.7,87.8,19.4,1,56
23.1,49.9,64.7,0,85
30.5,88.3,50.3,1,85
29.2,80.9,38.1,0,61
15.0,73.9,19.0,1,71
30.9,88.1,88.6,0,61
15.1,61.8,29.7,1,82
30.1,43.2,88.3,0,76
22.8,78.7,92.9,1,91
19.7,79.7,27.3,1,82
24.5,68.3,67.2,1,100
22.2,89.1,82.4,0,61
30.4,47.0,86.3,0,76
16.8,44.3,85.6,0,67
27.9,54.8,62.5,0,85
15.9,61.9,6.3,0,56
20.9,65.4,54.9,0,85
20.2,67.9,74.2,0,85
27.9,53.7,33.2,0,76
15.7,40.0,47.4,1,91
26.1,52.4,8.6,0,65
17.5,66.3,48.4,0,76
34.1,78.0,28.9,0,76
18.4,43.6,24.6,1,82
29.1,72.1,38.2,0,76
33.4,43.5,85.3,0,76
34.1,49.5,53.2,1,100
28.4,55.0,84.2,1,91
28.2,83.6,30.4,1,76
35.0,47.2,68.1,0,85
34.8,72.5,83.9,1,91
15.1,71.8,13.2,0,56
26.3,31.3,9.4,0,50
15.6,79.1,21.8,1,82
28.0,69.1,76.8,0,85
34.8,35.8,46.3,0,70
22.5,62.7,50.4,1,100
25.5,44.8,84.0,0,76
33.4,59.1,59.5,0,85
29.9,49.5,53.8,1,100
23.0,40.9,28.9,0,76
15.2,32.2,19.9,0,41
15.6,68.9,66.2,0,76
22.8,44.2,54.1,0,85
27.9,48.0,11.0,1,80
33.8,35.1,63.8,1,85
28.1,65.2,26.3,0,76
32.6,66.5,28.6,0,76
16.8,72.8,74.3,0,76
16.4,50.9,65.0,0,76
29.2,72.3,6.1,0,65
28.1,30.0,43.5,1,85
23.4,60.0,91.7,0,76
32.7,39.4,64.7,0,70
28.0,62.5,50.6,1,100
25.3,50.1,21.6,1,91
23.0,65.3,12.2,1,80
18.6,39.3,54.5,0,61
22.2,50.0,17.1,0,65
25.3,37.8,5.4,0,50
15.5,54.8,94.6,0,67
15.2,37.6,29.7,0,52
23.5,53.7,5.8,0,65
21.7,88.7,76.9,1,85
24.1,52.5,8.0,0,65
34.2,41.6,87.9,0,76
15.8,66.6,55.5,1,91
29.4,58.5,75.8,0,85
16.6,31.4,93.8,1,67
20.9,37.9,26.6,1,76
25.3,85.6,54.2,1,85
32.0,89.8,55.1,0,70
23.0,56.4,67.7,0,85
33.3,30.0,54.1,1,85
22.2,34.2,31.9,0,61
22.4,63.8,74.8,0,85
19.7,52.8,85.4,0,67
24.0,46.4,88.2,1,91
34.1,75.8,73.0,0,85
25.9,55.0,9.1,0,65
17.4,61.7,10.0,0,56
34.7,72.2,92.8,0,76
30.8,83.5,58.8,1,85
22.9,66.0,61.9,1,100
15.3,32.4,65.7,0,61
32.2,33.0,75.6,0,70
18.6,68.2,76.4,0,76
23.2,67.2,24.6,0,76
16.7,70.4,88.1,0,67
29.1,43.0,94.8,1,91
20.6,65.0,83.5,0,76
16.3,52.9,71.2,0,76
26.7,60.3,43.1,1,100
27.3,72.8,7.7,1,80
22.6,34.0,70.5,0,70
17.7,76.3,52.8,1,91
31.4,77.5,56.2,1,100
27.5,53.2,41.4,0,85
19.8,75.3,26.3,0,67
31.5,38.1,22.8,0,61
29.0,80.6,43.6,0,70
26.2,84.6,26.5,1,76
18.9,37.2,73.9,0,61
28.7,86.2,87.7,0,61
27.6,56.6,84.5,0,76
29.4,53.1,48.7,0,85
32.3,59.4,47.5,0,85
15.4,49.9,45.4,1,91
30.9,72.9,49.0,0,85
33.6,59.2,91.2,0,76
34.4,71.5,36.5,1,91
15.9,37.7,13.0,0,41
24.0,51.7,20.8,1,91
32.8,44.7,59.3,0,85
24.2,75.7,15.5,0,65
30.7,52.4,80.0,0,85
25.3,52.0,30.5,1,91
25.1,36.4,79.8,1,85
22.1,64.6,67.0,0,85
34.1,77.2,55.2,1,100
31.9,78.4,59.8,1,100
32.1,49.8,48.6,1,100
30.7,47.8,64.7,0,85
21.2,47.0,37.0,1,91
16.9,56.3,27.7,0,67
20.6,84.3,32.1,1,76
16.7,42.5,68.1,0,76
16.1,89.3,83.2,1,67
23.0,48.5,7.4,1,80
33.1,42.8,44.1,0,85
26.2,77.2,7.0,1,80
30.7,52.1,5.2,1,80
32.5,33.0,75.9,0,70
26.3,76.9,20.6,0,76
28.3,61.1,24.5,1,91
22.1,75.5,26.6,1,91
19.1,80.2,62.5,0,61
24.6,39.2,64.0,0,70
30.6,64.7,23.9,1,91
18.1,66.5,22.3,1,82
28.6,73.6,67.3,0,85
21.3,53.8,76.7,1,100
26.0,46.8,56.2,0,85
33.0,67.5,76.7,0,85
31.4,50.6,14.2,0,65
18.7,80.4,32.2,0,52
29.5,69.1,50.0,0,85
23.8,31.8,50.5,0,70
17.6,60.6,79.4,1,91
26.7,30.8,64.2,1,85
24.3,48.2,79.3,0,85
25.4,48.8,5.4,0,65
21.3,62.1,79.7,0,85
24.8,66.7,41.4,1,100
31.0,37.2,85.4,1,76
16.0,62.1,61.2,1,91
34.5,34.3,60.7,0,70
34.6,46.2,23.1,1,91
25.2,75.0,30.8,1,91
28.8,39.7,28.7,0,61
19.5,49.1,34.7,0,67
16.0,73.7,50.7,0,76
20.1,64.2,44.8,1,100
24.1,35.9,94.6,1,76
21.2,40.9,32.1,1,91
19.0,65.7,27.4,0,67
22.9,84.5,77.8,0,70
33.0,52.9,94.7,0,76
33.7,56.0,19.2,1,80
15.3,86.0,39.5,1,67
18.9,89.5,34.7,0,52
19.2,65.6,24.0,0,67
17.5,70.7,24.3,1,82
16.1,38.5,63.4,0,61
24.5,43.2,8.5,1,80
31.7,60.5,53.4,1,100
15.5,77.6,76.4,1,91
26.3,59.2,6.4,1,80
29.9,62.7,36.0,1,91
16.1,35.3,15.5,0,41
16.9,56.2,73.7,0,76
32.2,36.2,25.5,1,76
23.6,52.1,87.2,1,91
32.7,71.8,85.4,1,91
28.1,61.8,56.0,1,100
27.4,85.7,38.9,0,61
28.9,66.0,20.5,0,76
27.2,75.4,62.3,1,100
30.6,75.6,51.3,1,100
29.2,85.8,81.3,0,61
17.4,89.6,55.2,1,76
22.2,60.7,5.7,0,65
31.7,53.8,87.2,1,91
27.0,47.2,78.3,1,100
27.5,83.9,71.1,0,70
16.6,73.2,23.0,0,67
20.2,40.0,84.7,1,91
21.0,82.7,67.1,1,85
28.4,68.8,47.2,1,100
29.2,39.5,42.8,0,70
16.6,43.2,68.0,0,76
25.5,74.6,35.0,0,76
20.2,32.2,44.7,1,85
34.7,32.2,73.7,1,85
24.3,73.6,82.0,1,91
21.1,79.9,89.2,0,76
23.3,71.2,14.2,1,80
17.6,76.1,94.8,1,82
27.7,79.3,87.4,1,91
30.9,38.2,35.7,0,61
25.5,72.1,37.2,0,76
19.3,49.2,32.6,1,82
18.4,30.8,25.5,0,52
22.5,32.1,58.2,0,70
17.0,54.1,25.9,0,67
21.9,32.9,29.3,1,76
34.7,45.3,11.2,1,80
32.3,44.5,16.1,0,65
28.0,84.5,75.7,0,70
26.1,86.0,74.3,0,70
31.1,89.2,36.5,1,76
19.2,42.7,13.9,0,56
18.6,71.2,72.3,0,76
20.2,50.1,79.0,0,85
33.9,53.1,66.2,1,100
24.9,49.9,46.6,0,85
29.7,68.6,30.1,0,76
29.1,43.4,23.9,1,91
20.8,83.4,68.1,1,85
30.8,44.9,13.1,0,65
31.0,60.7,54.5,1,100
28.0,48.3,64.8,0,85
19.7,31.7,59.7,0,61
32.6,83.3,57.5,1,85
34.8,58.8,74.4,0,85
18.0,81.4,79.7,1,76
33.2,43.7,73.7,1,100
18.1,69.8,69.0,0,76
34.4,64.6,86.7,0,76
24.2,36.3,54.5,0,70
27.6,87.4,41.8,1,85
24.6,61.1,93.7,0,76
22.6,31.8,56.0,1,85
19.9,71.7,61.2,0,76
26.7,63.9,44.5,0,85
22.1,61.2,56.4,0,85
22.7,79.8,19.8,1,80
30.0,38.6,32.4,1,76
32.7,58.8,49.8,0,85
20.4,63.3,34.0,1,91
19.7,79.4,51.6,0,76
21.3,61.4,80.6,0,76
16.4,44.4,63.2,1,91
32.5,52.4,59.7,1,100
16.4,45.6,29.5,1,82
27.6,57.7,42.6,1,100
15.8,46.0,27.3,1,82
34.4,73.5,20.1,1,91
15.2,85.6,5.8,0,41
16.5,77.1,15.5,0,56
21.6,78.4,42.4,1,100
30.4,48.7,66.4,1,100
34.8,42.0,15.9,0,65
33.4,31.1,64.5,0,70
16.7,30.3,17.7,0,41
22.4,36.9,77.1,1,85
27.4,66.3,12.1,1,80
30.2,81.9,61.9,1,85
28.4,72.4,11.6,0,65
28.5,62.6,32.2,0,76
23.9,34.3,19.0,0,50
28.8,79.1,87.3,1,91
25.1,83.8,66.7,1,85
28.0,64.0,28.2,0,76
20.6,83.1,74.9,0,70
33.1,63.3,83.2,1,91
33.5,72.2,22.9,1,91
31.8,67.5,18.7,0,65
24.9,34.2,21.5,1,76
15.4,86.4,89.9,1,67
31.1,88.9,46.7,0,70
30.1,50.4,51.4,0,85
25.9,63.7,74.9,1,100
29.8,44.7,57.0,0,85
32.7,61.7,31.5,1,91
22.5,56.8,57.8,1,100
16.1,84.3,91.5,1,67
24.6,45.9,29.8,1,91
20.2,83.6,19.8,1,65
22.3,85.4,65.4,1,85
30.2,48.2,5.9,1,80
34.7,76.0,12.5,1,80
32.7,72.7,14.6,0,65
20.1,51.4,80.4,0,76
34.5,61.9,62.1,0,85
16.9,50.0,59.5,0,76
17.6,65.8,75.8,0,76
26.9,40.4,5.2,0,65
24.9,65.8,34.0,0,76
25.9,33.9,68.3,1,85
34.1,71.6,79.1,0,85
23.2,78.4,57.9,0,85
34.1,57.6,47.0,1,100
15.2,57.2,89.7,1,82
22.1,57.2,28.4,1,91
30.7,84.9,11.2,1,65
20.6,61.0,66.7,0,85
18.0,33.5,49.0,1,76
33.6,64.6,12.9,0,65
31.3,84.5,26.3,1,76
16.2,78.9,40.0,0,76
33.2,57.3,20.8,0,76
27.7,74.0,23.8,1,91
16.3,70.3,92.6,0,67
25.2,39.5,30.9,1,76
29.8,57.2,47.9,1,100
31.0,34.2,71.7,1,85
33.3,81.8,17.7,1,65
15.6,40.1,6.8,1,71
20.9,61.7,61.8,1,100
34.6,51.3,81.2,1,91
20.0,34.3,34.5,1,76
20.9,71.8,21.6,1,91
32.7,87.5,70.4,1,85
20.1,85.7,61.1,1,85
29.6,48.4,11.4,1,80
23.0,73.2,60.7,0,85
