temperature,humidity,soil_moisture,light_level,health_score,status
35.6,71.9,16.3,0,65,Doing well
34.1,47.5,66.1,1,100,Perfect
34.8,26.3,7.2,1,60,Doing well
26.2,79.2,84.9,1,91,Perfect
54.2,74.5,26.9,0,67,Doing well
9.3,61.8,80.2,1,71,Doing well
45.3,59.5,25.1,1,82,Healthy
5.2,41.5,14.0,1,60,Doing well
24.1,38.7,12.4,0,50,I'm okay
52.2,74.0,19.3,1,71,Doing well
35.7,19.4,39.4,1,71,Doing well
6.2,91.7,71.6,1,60,Doing well
48.7,56.7,26.7,1,82,Healthy
48.3,71.8,62.4,0,76,Healthy
48.3,71.6,16.1,1,71,Doing well
29.8,60.6,90.4,0,76,Healthy
31.9,87.8,60.1,0,70,Doing well
25.4,27.5,74.0,0,65,Doing well
21.4,41.1,41.3,0,85,Healthy
35.6,14.2,77.8,1,80,Healthy
45.9,31.9,35.2,1,67,Doing well
46.9,35.3,46.1,1,76,Healthy
55.0,19.1,11.3,1,51,I'm okay
28.8,52.4,34.5,0,76,Healthy
19.2,42.7,74.9,1,91,Perfect
26.8,26.2,5.8,0,45,I'm okay
46.4,28.5,20.0,1,62,Doing well
49.7,11.6,67.8,0,56,Doing well
23.9,67.7,78.1,1,100,Perfect
52.7,11.6,9.6,0,36,Struggling
40.8,51.3,25.7,0,76,Healthy
37.5,47.1,66.6,1,100,Perfect
54.6,46.9,86.6,0,67,Doing well
51.3,90.7,46.0,0,56,Doing well
31.3,77.3,43.9,1,100,Perfect
6.1,61.2,52.1,0,65,Doing well
28.1,22.0,58.6,0,65,Doing well
7.8,39.4,56.0,0,50,I'm okay
41.3,92.6,60.2,0,65,Doing well
35.3,13.3,23.2,0,56,Doing well
35.9,62.9,15.7,1,80,Healthy
17.0,40.8,10.8,0,56,Doing well
54.0,20.7,51.4,1,71,Doing well
32.4,15.5,37.8,0,56,Doing well
16.9,10.5,19.6,1,51,I'm okay
9.9,26.5,75.9,1,60,Doing well
52.3,84.5,43.5,1,76,Healthy
28.0,72.2,78.8,1,100,Perfect
30.9,14.6,16.8,1,60,Doing well
42.5,94.0,30.4,0,56,Doing well
24.5,85.6,55.9,1,85,Healthy
47.8,78.9,16.7,0,56,Doing well
9.2,43.6,66.5,1,80,Healthy
47.0,93.6,47.7,0,56,Doing well
30.8,65.1,24.8,0,76,Healthy
36.2,26.2,48.6,0,65,Doing well
5.5,68.8,50.7,0,65,Doing well
5.6,75.8,57.1,1,80,Healthy
18.8,13.8,18.1,1,51,I'm okay
24.7,36.3,6.9,0,50,I'm okay
33.5,47.8,19.8,1,80,Healthy
32.7,66.8,65.6,1,100,Perfect
14.4,75.1,23.1,1,82,Healthy
52.3,88.9,61.8,1,76,Healthy
36.3,36.1,6.9,0,50,I'm okay
5.2,33.8,91.4,0,41,I'm okay
46.7,70.6,80.5,0,67,Doing well
30.2,90.8,77.7,0,65,Doing well
33.3,12.3,66.6,0,65,Doing well
48.7,51.3,53.1,0,76,Healthy
50.5,88.8,63.8,1,76,Healthy
31.7,92.5,42.0,0,65,Doing well
53.9,24.9,79.5,0,56,Doing well
18.7,87.7,28.6,0,52,I'm okay
13.7,58.8,53.8,1,91,Perfect
20.3,63.6,61.4,1,100,Perfect
38.1,85.8,7.1,1,65,Doing well
44.5,30.4,75.0,0,70,Doing well
39.4,29.7,6.7,0,45,I'm okay
25.6,86.5,67.6,0,70,Doing well
38.0,92.1,26.1,1,71,Doing well
19.4,46.2,34.8,1,82,Healthy
21.4,52.7,28.1,1,91,Perfect
54.2,52.5,84.0,1,82,Healthy
38.7,86.9,22.8,1,76,Healthy
49.9,52.0,48.5,1,91,Perfect
18.2,44.5,38.1,1,82,Healthy
43.3,35.8,16.2,0,50,I'm okay
27.3,60.4,17.0,0,65,Doing well
45.8,48.6,32.2,1,82,Healthy
17.3,23.7,55.0,1,71,Doing well
43.1,32.5,61.1,1,85,Healthy
17.4,21.0,69.7,0,56,Doing well
31.4,13.7,25.6,1,71,Doing well
7.8,68.9,25.8,1,71,Doing well
44.1,37.9,20.2,1,76,Healthy
19.6,11.3,87.2,1,62,Doing well
31.4,45.9,71.9,0,85,Healthy
13.9,12.1,36.3,1,62,Doing well
22.9,32.1,13.4,0,50,I'm okay
14.3,65.9,62.0,1,91,Perfect
27.2,15.4,41.9,0,65,Doing well
49.4,45.7,49.9,0,76,Healthy
5.4,22.4,9.9,0,25,Struggling
45.0,81.2,61.7,1,85,Healthy
53.2,39.1,54.9,1,76,Healthy
11.8,78.6,35.6,1,82,Healthy
34.7,21.5,71.9,0,65,Doing well
36.4,38.0,52.6,0,70,Doing well
52.9,32.7,30.2,1,67,Doing well
20.6,39.2,23.4,1,76,Healthy
20.5,32.4,35.2,1,76,Healthy
8.6,57.0,10.7,1,60,Doing well
29.5,74.1,16.1,1,80,Healthy
30.2,52.6,5.6,1,80,Healthy
46.7,86.7,30.8,0,52,I'm okay
46.8,12.7,36.5,1,62,Doing well
35.9,63.1,17.5,1,80,Healthy
34.1,13.7,44.8,1,80,Healthy
14.1,71.7,84.1,0,67,Doing well
48.2,56.5,70.5,1,91,Perfect
31.2,23.8,71.5,1,80,Healthy
8.6,26.8,29.3,1,51,I'm okay
8.2,13.1,69.4,1,60,Doing well
23.4,77.0,38.2,0,76,Healthy
16.9,43.7,79.7,1,91,Perfect
16.5,15.7,39.0,1,62,Doing well
34.0,31.2,70.3,0,70,Doing well
38.4,11.6,37.5,0,56,Doing well
31.0,71.1,27.7,1,91,Perfect
44.0,73.7,56.0,0,85,Healthy
7.8,30.3,86.4,0,41,I'm okay
29.4,58.0,63.2,0,85,Healthy
50.2,92.6,70.0,0,56,Doing well
36.4,76.7,33.2,0,76,Healthy
14.3,62.3,83.2,1,82,Healthy
24.1,58.1,68.4,0,85,Healthy
5.4,13.7,39.0,0,36,Struggling
51.1,16.6,25.9,0,47,I'm okay
45.9,35.6,18.4,0,41,I'm okay
42.7,25.0,70.1,0,65,Doing well
14.3,52.4,38.9,1,82,Healthy
27.8,54.1,77.0,1,100,Perfect
45.2,31.6,14.7,0,41,I'm okay
20.6,43.4,91.7,1,91,Perfect
17.8,24.5,85.8,0,47,I'm okay
14.9,62.0,58.1,1,91,Perfect
45.3,27.6,58.7,1,71,Doing well
29.6,34.0,44.8,0,70,Doing well
21.5,90.9,12.4,0,45,I'm okay
47.2,62.0,10.9,1,71,Doing well
50.6,76.8,73.2,0,76,Healthy
45.0,73.2,10.4,0,65,Doing well
53.5,35.1,85.6,1,67,Doing well
31.1,49.5,85.3,1,91,Perfect
23.5,76.8,59.2,0,85,Healthy
29.9,57.0,60.3,1,100,Perfect
52.8,61.2,5.1,1,71,Doing well
8.9,14.3,79.1,1,60,Doing well
29.3,58.6,65.8,0,85,Healthy
11.6,80.7,31.5,1,67,Doing well
21.9,80.4,39.5,0,61,Doing well
54.1,10.4,53.2,0,56,Doing well
42.0,94.3,63.9,1,80,Healthy
28.1,47.5,71.4,1,100,Perfect
41.5,13.7,73.6,0,65,Doing well
47.9,70.6,94.5,0,67,Doing well
28.6,86.5,32.5,1,76,Healthy
21.2,18.3,44.0,1,80,Healthy
20.3,80.6,56.4,1,85,Healthy
6.6,51.4,17.2,0,45,I'm okay
35.6,88.4,22.2,0,61,Doing well
16.8,39.6,14.1,0,41,I'm okay
24.6,49.1,30.8,0,76,Healthy
11.7,72.1,63.1,1,91,Perfect
16.7,23.2,40.4,1,71,Doing well
7.7,56.2,45.1,0,65,Doing well
23.7,32.7,79.6,1,85,Healthy
18.0,61.0,49.9,1,91,Perfect
28.5,35.7,26.2,0,61,Doing well
23.0,57.4,87.4,0,76,Healthy
8.7,78.6,87.3,1,71,Doing well
23.3,84.9,23.5,0,61,Doing well
30.4,78.5,30.1,0,76,Healthy
19.7,79.3,79.0,0,76,Healthy
35.4,42.0,43.0,0,85,Healthy
28.4,62.8,94.0,1,91,Perfect
48.0,22.6,34.8,0,47,I'm okay
50.2,20.1,44.5,1,71,Doing well
7.2,68.8,63.5,1,80,Healthy
19.3,69.1,31.5,1,82,Healthy
15.0,46.0,29.4,0,67,Doing well
34.5,66.2,91.6,0,76,Healthy
49.1,39.8,34.6,1,67,Doing well
28.1,53.9,42.6,1,100,Perfect
28.8,91.7,79.2,1,80,Healthy
28.5,12.4,15.4,1,60,Doing well
51.2,37.4,37.6,1,67,Doing well
49.4,12.7,49.1,0,56,Doing well
28.6,87.8,94.1,0,61,Doing well
16.3,48.0,35.7,1,82,Healthy
54.5,40.9,53.6,1,91,Perfect
12.5,82.3,86.1,1,67,Doing well
33.5,14.6,92.7,1,71,Doing well
5.9,16.3,37.0,1,51,I'm okay
31.5,19.4,46.8,1,80,Healthy
28.4,18.1,49.2,0,65,Doing well
44.1,84.9,56.5,0,70,Doing well
42.2,88.7,33.8,0,61,Doing well
19.6,65.2,88.6,1,82,Healthy
41.9,50.0,58.7,1,100,Perfect
29.8,36.4,77.6,0,70,Doing well
13.0,54.2,60.8,1,91,Perfect
10.4,48.0,46.8,1,91,Perfect
53.0,56.9,84.0,0,67,Doing well
21.2,28.8,29.1,1,71,Doing well
36.4,75.0,13.9,1,80,Healthy
18.3,34.0,18.6,0,41,I'm okay
32.1,81.8,32.5,0,61,Doing well
47.5,68.5,89.4,0,67,Doing well
50.2,74.2,74.6,0,76,Healthy
35.3,22.9,11.0,1,60,Doing well
17.9,47.3,77.1,1,91,Perfect
17.4,30.7,92.0,0,52,I'm okay
43.9,19.0,77.3,0,65,Doing well
30.3,88.7,42.1,1,85,Healthy
19.8,14.8,73.9,1,71,Doing well
48.5,57.3,26.7,1,82,Healthy
49.4,22.9,38.0,0,47,I'm okay
22.0,11.1,58.5,1,80,Healthy
11.0,10.6,59.5,1,71,Doing well
16.1,82.1,80.6,1,67,Doing well
8.8,29.5,68.5,1,60,Doing well
34.4,60.9,39.6,1,91,Perfect
16.5,65.4,79.6,1,91,Perfect
31.0,85.9,6.8,0,50,I'm okay
28.3,23.6,40.2,1,80,Healthy
13.7,59.1,19.6,1,71,Doing well
31.1,55.9,72.9,0,85,Healthy
30.2,15.8,63.8,1,80,Healthy
50.4,57.2,71.0,0,76,Healthy
8.6,89.9,83.5,1,56,Doing well
11.0,47.3,88.2,1,82,Healthy
35.0,22.1,62.9,0,65,Doing well
16.0,76.6,90.2,0,67,Doing well
36.9,45.5,94.3,0,76,Healthy
49.1,67.9,10.2,1,71,Doing well
38.3,29.3,79.9,1,80,Healthy
24.5,37.0,57.4,0,70,Doing well
54.1,27.5,52.5,0,56,Doing well
38.4,77.3,27.8,0,76,Healthy
39.7,27.8,28.9,1,71,Doing well
41.5,11.7,20.0,0,56,Doing well
52.7,87.6,88.2,1,67,Doing well
38.5,64.8,57.7,1,100,Perfect
48.2,34.6,32.8,0,52,I'm okay
46.2,81.8,6.1,1,56,Doing well
40.3,17.9,28.1,1,71,Doing well
40.3,10.6,32.7,1,71,Doing well
34.9,49.3,20.1,0,76,Healthy
53.1,75.8,79.1,1,91,Perfect
19.2,15.2,93.9,1,62,Doing well
9.1,78.5,24.1,1,71,Doing well
32.1,41.9,61.7,1,100,Perfect
32.1,55.4,64.6,1,100,Perfect
27.7,55.8,73.6,0,85,Healthy
51.5,19.0,34.4,1,62,Doing well
12.4,90.7,45.9,1,71,Doing well
44.0,40.0,8.0,1,80,Healthy
52.3,78.2,63.1,0,76,Healthy
51.2,64.7,58.2,0,76,Healthy
16.9,79.9,54.0,1,91,Perfect
6.7,66.8,44.7,0,65,Doing well
10.6,45.5,20.0,1,82,Healthy
15.8,45.2,40.5,0,76,Healthy
24.3,45.8,44.2,0,85,Healthy
24.1,15.6,13.6,0,45,I'm okay
33.1,19.7,94.5,0,56,Doing well
9.1,64.6,30.0,0,56,Doing well
45.2,33.7,61.5,0,61,Doing well
12.2,85.1,51.8,0,61,Doing well
28.9,57.1,9.8,1,80,Healthy
30.7,59.3,5.8,1,80,Healthy
53.4,77.4,61.6,1,91,Perfect
6.2,91.1,60.5,1,60,Doing well
54.4,15.9,85.1,0,47,I'm okay
21.9,92.4,48.2,0,65,Doing well
7.7,90.4,47.4,0,45,I'm okay
30.1,45.5,7.8,1,80,Healthy
25.1,84.5,50.7,0,70,Doing well
51.0,17.6,80.4,1,62,Doing well
13.5,75.2,75.5,1,91,Perfect
54.4,82.4,28.8,1,67,Doing well
11.3,58.1,7.6,0,56,Doing well
35.3,65.6,60.2,1,100,Perfect
28.2,40.2,45.0,1,100,Perfect
32.6,12.8,22.4,0,56,Doing well
38.1,53.9,15.3,1,80,Healthy
11.8,37.7,18.4,0,41,I'm okay
8.0,20.3,29.1,1,51,I'm okay
35.6,82.7,61.6,0,70,Doing well
9.4,50.6,26.7,0,56,Doing well
32.4,56.9,48.9,1,100,Perfect
30.2,59.5,59.0,1,100,Perfect
50.9,81.4,14.4,0,41,I'm okay
26.7,20.4,16.1,0,45,I'm okay
34.8,10.1,10.6,0,45,I'm okay
52.7,36.0,39.4,0,52,I'm okay
24.9,34.9,84.8,0,61,Doing well
47.5,63.0,23.4,0,67,Doing well
40.7,15.8,68.7,1,80,Healthy
18.1,17.5,88.1,0,47,I'm okay
12.0,83.1,17.8,1,56,Doing well
13.0,40.1,10.9,0,56,Doing well
11.3,37.2,27.1,1,67,Doing well
8.4,78.6,75.2,1,80,Healthy
36.5,23.5,6.5,0,45,I'm okay
25.9,77.6,24.5,0,76,Healthy
17.6,93.7,81.1,0,47,I'm okay
49.2,40.1,12.7,0,56,Doing well
34.8,92.7,22.9,1,71,Doing well
15.5,24.0,57.0,1,71,Doing well
18.4,45.5,88.3,1,82,Healthy
6.4,68.6,74.7,1,80,Healthy
36.0,28.4,92.1,1,71,Doing well
18.5,32.0,70.1,1,76,Healthy
6.1,22.7,68.6,0,45,I'm okay
28.3,89.1,80.0,1,85,Healthy
29.0,23.2,42.9,1,80,Healthy
9.1,86.6,26.2,1,56,Doing well
10.9,78.6,71.8,1,91,Perfect
17.4,42.0,48.6,1,91,Perfect
39.9,41.9,21.8,1,91,Perfect
29.4,87.8,12.7,0,50,I'm okay
27.7,34.6,5.5,1,65,Doing well
17.4,35.6,7.6,0,41,I'm okay
54.5,76.7,26.8,0,67,Doing well
52.5,66.1,73.8,0,76,Healthy
11.4,82.1,65.4,0,61,Doing well
26.8,22.3,41.8,1,80,Healthy
7.5,33.2,55.8,1,65,Doing well
47.2,54.5,83.8,0,67,Doing well
14.2,74.0,42.4,0,76,Healthy
29.8,51.2,79.2,0,85,Healthy
14.8,17.6,54.6,0,56,Doing well
9.7,68.3,58.7,0,65,Doing well
8.6,58.0,51.6,0,65,Doing well
51.7,47.3,40.3,1,91,Perfect
32.8,45.6,33.6,1,91,Perfect
39.8,68.5,86.0,1,91,Perfect
19.9,81.7,32.7,0,52,I'm okay
21.9,36.0,28.4,1,76,Healthy
9.7,63.7,55.2,0,65,Doing well
35.5,64.4,6.6,0,65,Doing well
9.0,12.5,82.9,1,51,I'm okay
11.3,56.0,20.0,1,82,Healthy
19.2,31.8,42.2,0,61,Doing well
41.0,26.8,15.5,0,45,I'm okay
36.6,74.2,86.3,1,91,Perfect
27.5,68.9,52.1,1,100,Perfect
14.4,84.6,20.2,1,67,Doing well
33.6,27.4,49.9,0,65,Doing well
41.6,77.8,64.7,0,85,Healthy
50.7,22.8,86.2,0,47,I'm okay
31.9,73.5,53.1,1,100,Perfect
48.8,93.4,88.9,1,62,Doing well
50.0,50.8,41.6,0,76,Healthy
44.1,23.7,58.4,0,65,Doing well
46.8,37.8,90.0,0,52,I'm okay
41.2,94.5,60.3,1,80,Healthy
41.6,90.5,87.8,0,56,Doing well
34.2,21.1,26.1,0,56,Doing well
46.0,17.0,8.3,0,36,Struggling
52.0,85.8,48.1,1,76,Healthy
9.6,76.6,79.4,0,65,Doing well
10.5,35.3,10.9,0,41,I'm okay
43.9,16.1,18.1,1,60,Doing well
41.7,88.6,55.4,1,85,Healthy
6.2,13.1,86.0,1,51,I'm okay
52.3,66.2,46.7,0,76,Healthy
47.7,65.4,14.2,0,56,Doing well
31.7,67.3,58.3,0,85,Healthy
42.6,48.4,46.5,1,100,Perfect
37.6,38.8,82.3,0,61,Doing well
50.5,17.1,8.0,0,36,Struggling
26.4,45.5,39.0,1,91,Perfect
37.1,55.5,49.8,1,100,Perfect
49.2,59.0,55.6,0,76,Healthy
42.7,68.7,6.7,1,80,Healthy
50.6,62.4,29.8,0,67,Doing well
47.2,60.2,53.7,1,91,Perfect
40.7,93.9,40.7,0,65,Doing well
18.2,41.8,85.5,0,67,Doing well
11.9,68.1,70.2,0,76,Healthy
45.1,71.1,58.4,0,76,Healthy
13.1,71.5,7.1,1,71,Doing well
14.1,39.8,15.0,1,56,Doing well
23.9,11.2,70.8,1,80,Healthy
35.2,43.9,79.6,1,100,Perfect
35.8,90.4,18.0,1,60,Doing well
54.0,13.4,72.7,1,71,Doing well
37.6,73.2,68.6,0,85,Healthy
